Neighb ID,Name,MH_PC_Tot,MH_PC_F,MH_PC_M,Census_Pop,Med_Indiv_Income,Avg_Ind_Income,Unemploy_rate,Num_Households,Income_U5000,Income_5000to9999,Income_10000to14999,Income_15000to19999,Income_20000to29999,Income_30000to39999,Income_40000to49999,Income_50000to59999,Income_60000to79999,Income_80000to99999,Income_100000to124999,Income_125000to149999,Income_150000Plus,W_Rel,W_Non_Rel,Alone,  Age0to14,  Age15to24 ,  Age25to34 ,  Age35to44 ,  Age45to54 ,  Age55to64 ,  Age65to79,  Age80to99,  Non_immigrants,  Immigrants
1,Agincourt North,232.7,211.4,256.9,30279,19730,28306,11.3,9140,250,160,170,480,775,1065,920,730,1220,1150,765,605,825,1345,1105,1165,4225,4165,3840,3845,5010,4105,3705,1395,7860,21490
2,Agincourt South-Malvern West,363.1,402.9,320.2,21988,21457,29079,10.7,6885,175,120,185,210,525,755,805,695,1050,745,535,435,625,840,960,1030,3155,3110,2775,2955,3730,2825,2455,975,7105,14225
3,Alderwood,510.4,535.4,483.4,11904,32470,40376,7.4,4665,110,35,70,120,455,305,495,305,665,575,585,390,560,335,400,1190,1660,1325,1520,1675,2125,1605,1300,690,7655,4165
4,Annex,971.5,978.6,963,29177,35891,72290,7.3,15545,940,685,730,1120,1225,1075,1180,995,1795,1300,995,780,2725,545,3260,8080,2195,3915,7190,3990,3570,3485,3320,1480,17900,8560
5,Banbury-Don Mills,443.3,400,495.9,26918,38053,62498,7.1,11775,170,115,240,640,1030,925,930,995,1505,1250,805,730,2400,590,680,4185,3700,2715,2930,3970,4270,3245,3640,2420,13130,12765
6,Bathurst Manor,412.9,413.5,412.3,15434,28146,38422,7.8,6020,195,145,140,455,615,610,495,585,635,590,505,355,685,440,760,1705,2310,1810,2115,2190,2410,1775,1610,1195,6760,8025
7,Bay Street Corridor,574.8,612.1,536.1,19348,30090,56506,9.3,10985,1590,415,545,490,940,815,740,805,1440,900,840,410,1065,895,2365,5960,1360,3750,6450,2600,1840,1525,1320,500,8010,7740
8,Bayview Village,323.7,300.6,352.3,17671,33592,49935,8.4,7380,365,115,160,210,480,465,770,650,1010,805,590,465,1230,490,550,2240,2055,2145,3085,2670,2570,2180,1970,1000,6235,10550
9,Bayview Woods-Steeles,589,489.2,712.8,13530,27037,44023,10.4,4720,60,115,70,210,470,415,350,320,570,415,425,405,865,325,385,900,1640,1890,1245,1540,2090,1920,2100,1100,5055,7775
10,Bedford Park-Nortown,366.2,380.1,349.2,23185,40775,89227,6.3,8715,255,85,215,435,455,555,385,510,965,710,560,480,3080,360,840,2600,4700,2930,2145,3220,3685,2885,2365,1245,15875,6475
11,Beechborough-Greenbrook,868.7,670.4,1108.5,6488,21999,30980,11.6,2670,25,65,105,315,335,425,305,225,285,200,70,100,130,265,295,840,1235,860,1035,910,995,670,565,205,2785,3485
12,Bendale,371.6,350.5,395.3,27876,24368,31007,10.5,10000,440,175,290,455,985,925,1010,1110,1475,1065,960,475,615,955,1070,2505,4425,3740,3890,3830,3995,3150,3290,1550,11065,14895
13,Birchcliffe-Cliffside,602.4,562.3,645.6,21856,33128,48799,10.6,9190,290,165,265,370,920,735,740,760,1165,1100,900,480,1285,470,780,3010,3210,2560,2290,3030,4190,3245,2240,1065,15620,5555
14,Black Creek,462.6,427.8,499.6,22057,19877,24154,13.6,7250,255,115,480,595,940,1080,935,600,875,625,415,70,190,950,1085,1480,5105,3385,3030,2965,2975,2015,1935,610,8015,13345
15,Blake-Jones,1063.7,990.3,1145.8,7763,24561,40610,9.6,3240,85,90,215,305,310,225,250,215,380,285,275,225,405,160,480,1030,1360,945,1215,1315,1285,825,595,225,4905,2715
16,Briar Hill - Belgravia,850.3,729,997.1,14302,24933,33408,7.8,5805,235,125,190,325,635,560,610,515,810,605,570,325,270,580,825,1750,2020,1665,2265,2290,2480,1715,1315,565,5220,8785
